disease,celltype,candidate_genes,y
acute myeloid leukemia,myeloid progenitor cell,"['RPL22L1', 'H3P41', 'KIF1B', 'PTCH1', 'CD58']",PTCH1
acute myeloid leukemia,myeloid progenitor cell,"['CS', 'EYA4', 'FABP7', 'UBA5', 'TP53INP2']",UBA5
acute myeloid leukemia,myeloid progenitor cell,"['PAICS', 'TUBBP5', 'PIN1', 'G3BP1', 'EP400']",PAICS
acute myeloid leukemia,myeloid progenitor cell,"['H2AX', 'MIR23A', 'CFL1', 'FGFR3', 'CDK8']",FGFR3
acute myeloid leukemia,myeloid progenitor cell,"['PLXNC1', 'FAP', 'INF2', 'SDHD', 'NOPCHAP1']",SDHD
acute myeloid leukemia,myeloid progenitor cell,"['F9', 'DNAJC15', 'ELMO1', 'ELN', 'PRKAG1']",ELN
acute myeloid leukemia,myeloid progenitor cell,"['SAMD9', 'CAGE1', 'RABGAP1L', 'SPRY1', 'MYH4']",RABGAP1L
acute myeloid leukemia,myeloid progenitor cell,"['HAGHL', 'NR3C1', 'UBN2', 'CYP26A1', 'ZNF398']",NR3C1
acute myeloid leukemia,myeloid progenitor cell,"['IGSF9', 'EPDR1', 'KLK2', 'LMNB1', 'GAD1']",KLK2
acute myeloid leukemia,myeloid progenitor cell,"['FUCA2', 'ENSG00000277117', 'CDKN1A', 'LPIN2', 'NEDD1']",CDKN1A
acute myeloid leukemia,myeloid progenitor cell,"['DGAT1', 'SLC35B2', 'TCL1A', 'SKIC2', 'PPP1R12B']",TCL1A
acute myeloid leukemia,myeloid progenitor cell,"['HGF', 'SH3BP1', 'TMEM45A', 'UCHL1', 'STK38']",HGF
acute myeloid leukemia,myeloid progenitor cell,"['KIF15', 'RASIP1', 'DDX10', 'RAB3IP', 'CYP3A7']",DDX10
acute myeloid leukemia,myeloid progenitor cell,"['TLR9', 'BIRC5', 'RPL37', 'MAPDA', 'DNAJC5']",BIRC5
