disease,celltype,candidate_genes,y
bladder carcinoma,bladder urothelial cell,"['SPINK5', 'NDRG2', 'LMNA', 'TNFAIP8', 'DSC2']",LMNA
bladder carcinoma,bladder urothelial cell,"['SPAG11A', 'DCP2', 'XRCC6P5', 'SEPTIN6', 'GAPDHP1']",SEPTIN6
bladder carcinoma,bladder urothelial cell,"['SRC', 'VEZF1', 'EIF3B', 'CXCR5', 'S100A5']",SRC
bladder carcinoma,bladder urothelial cell,"['RCE1', 'PLK2', 'FGF11', 'CRNDE', 'RET']",RET
bladder carcinoma,bladder urothelial cell,"['DLGAP2', 'CEACAM1', 'HYOU1', 'RASA1', 'TRIM28']",RASA1
bladder carcinoma,bladder urothelial cell,"['LIMA1', 'ZBED2', 'GAPDH', 'SLCO1A2', 'JUN']",JUN
bladder carcinoma,bladder urothelial cell,"['APOA1', 'HOXA9', 'CCL18', 'C4BPA', 'SELENOT']",HOXA9
bladder carcinoma,bladder urothelial cell,"['TRIM9', 'RPSA', 'RAB10', 'BAZ1A', 'SIRT6']",BAZ1A
bladder carcinoma,bladder urothelial cell,"['EIF5B', 'PLCG1', 'PSMD7', 'CLDN10', 'MED15']",PLCG1
bladder carcinoma,bladder urothelial cell,"['PEA15', 'SETDB2', 'ASCL1', 'PPP2R2B', 'SET']",SET
bladder carcinoma,bladder urothelial cell,"['SRSF2', 'HAX1', 'ADAMTS5', 'POGLUT3', 'PARP14']",SRSF2
bladder carcinoma,bladder urothelial cell,"['E2F5', 'PDGFRA', 'PTPRA', 'CSPG4', 'TBL1X']",PDGFRA
bladder carcinoma,bladder urothelial cell,"['CREB3L2', 'SLC2A4RG', 'GLA', 'RHOBTB2', 'STUB1']",CREB3L2
bladder carcinoma,bladder urothelial cell,"['BRD4', 'WNT1', 'EIF4G2', 'PCMT1', 'CER1']",BRD4
bladder carcinoma,bladder urothelial cell,"['MPC1', 'EDN1', 'CPEB3', 'CAVIN2', 'CEACAM6']",CPEB3
bladder carcinoma,bladder urothelial cell,"['APH1A', 'ABI3', 'PTGER3', 'LCK', 'TARBP2']",LCK
bladder carcinoma,bladder urothelial cell,"['GCHFR', 'RAB32', 'OPRM1', 'CAP1', 'ISX']",ISX
bladder carcinoma,bladder urothelial cell,"['SOD2', 'KLF12', 'EIF4A2', 'AKR1C3', 'C16orf54']",EIF4A2
bladder carcinoma,bladder urothelial cell,"['SPARC', 'PLA2G2A', 'TMEM129', 'AGTRAP', 'ARL4C']",TMEM129
bladder carcinoma,bladder urothelial cell,"['ACTL6A', 'BCL2', 'ADRA2A', 'FGA', 'SS18']",BCL2
bladder carcinoma,bladder urothelial cell,"['POLR2K', 'RHOBTB3', 'LEMD1', 'BCL6', 'JAM3']",BCL6
bladder carcinoma,bladder urothelial cell,"['PTGER1', 'NEK4', 'POLD4', 'AQP2', 'CACNA2D1']",POLD4
bladder carcinoma,bladder urothelial cell,"['NEU4', 'TNRC18', 'HOXA10', 'LEP', 'HADHB']",TNRC18
bladder carcinoma,bladder urothelial cell,"['CRTC3', 'NAPSA', 'MUC17', 'GGTLC5P', 'DLD']",CRTC3
bladder carcinoma,bladder urothelial cell,"['WDR4', 'UBE4A', 'NSUN5', 'IP6K2', 'ATRX']",ATRX
bladder carcinoma,bladder urothelial cell,"['GP5', 'UBE2T', 'SERPINB8', 'ARID1A', 'EPHA6']",ARID1A
bladder carcinoma,bladder urothelial cell,"['RNF7', 'TUBB6', 'CD86', 'HRG', 'FAM83D']",TUBB6
bladder carcinoma,bladder urothelial cell,"['STK3', 'ATP5F1A', 'SRGAP3', 'PGD', 'SERBP1']",SRGAP3
bladder carcinoma,bladder urothelial cell,"['DUSP16', 'JUN', 'MECP2', 'HCG27', 'CASP6']",JUN
bladder carcinoma,bladder urothelial cell,"['LPCAT3', 'DEPDC1B', 'VTI1A', 'MRAP', 'IL5']",VTI1A
bladder carcinoma,bladder urothelial cell,"['SDHA', 'HOXC4', 'SQSTM1', 'POTEM', 'SLC2A12']",SDHA
bladder carcinoma,bladder urothelial cell,"['SERPINE1', 'ACVRL1', 'KIFAP3', 'SURF4', 'RARA']",RARA
bladder carcinoma,bladder urothelial cell,"['CPT1B', 'LRRTM1', 'PRIM1', 'ING1', 'SMYD3']",PRIM1
bladder carcinoma,bladder urothelial cell,"['CDH1', 'PDGFA', 'GDF9', 'H4C9', 'RMC1']",CDH1
bladder carcinoma,bladder urothelial cell,"['CALCRL', 'DMP1', 'ANK1', 'PHRF1', 'RAB8A']",ANK1
bladder carcinoma,bladder urothelial cell,"['RNH1', 'SLC25A20', 'DSP', 'RCN1', 'BCORL1']",BCORL1
