disease,celltype,candidate_genes,y
breast carcinoma,breast epithelial cell,"['MARK2', 'FGF1', 'RACGAP1', 'TFEB', 'LIPG']",TFEB
breast carcinoma,breast epithelial cell,"['NFE2L3', 'ELOVL5', 'CCN5', 'CPVL', 'ZMYND8']",ELOVL5
breast carcinoma,breast epithelial cell,"['CSTF2T', 'ARNT2-AS3', 'MAP3K6', 'PCSK6', 'ATP5MK']",CSTF2T
breast carcinoma,breast epithelial cell,"['MBP', 'RAD51D', 'VTN', 'THBD', 'LINC01524']",RAD51D
breast carcinoma,breast epithelial cell,"['LRRC23', 'NRN1', 'ABCC1', 'RHOV', 'CBLL2']",ABCC1
breast carcinoma,breast epithelial cell,"['KCNN1', 'XRCC3', 'MGAT1', 'SNCAIP', 'SMOC2']",XRCC3
breast carcinoma,breast epithelial cell,"['WDR72', 'CR1', 'FHL1', 'LDHA', 'GPC3']",GPC3
breast carcinoma,breast epithelial cell,"['LINC00343', 'UBA5', 'ZFP36L1', 'DCD', 'PMVK']",ZFP36L1
breast carcinoma,breast epithelial cell,"['PIK3R1', 'MICAL1', 'TAC4-AS1', 'LRIT1', 'SNHG9']",PIK3R1
breast carcinoma,breast epithelial cell,"['MGST3', 'MICU3', 'COX7A1', 'SLC7A3', 'WAS']",WAS
breast carcinoma,breast epithelial cell,"['RHPN2', 'GRB7', 'DNAJA1', 'RNF215', 'UCP1']",RHPN2
breast carcinoma,breast epithelial cell,"['PPP2R1B', 'PRKDC', 'P3H3', 'POU2F3', 'SYT4']",PPP2R1B
breast carcinoma,breast epithelial cell,"['SGCG', 'TMOD1-AS1', 'ZNF468', 'ENSG00000276174', 'PDZRN3']",SGCG
breast carcinoma,breast epithelial cell,"['SAT2', 'GNRHR', 'ERCC1', 'NHERF1', 'CHUK']",GNRHR
breast carcinoma,breast epithelial cell,"['LINC02080', 'LCA5', 'DHX37', 'EIF4A2', 'TEX14']",EIF4A2
breast carcinoma,breast epithelial cell,"['BRI3', 'USP39', 'IGF1', 'SNRPC', 'PDLIM5']",IGF1
breast carcinoma,breast epithelial cell,"['IGFL4', 'RRAS', 'MRPS24', 'RETNLB', 'ATM']",ATM
breast carcinoma,breast epithelial cell,"['DSC1', 'ME3', 'ZNF804A', 'FAM171B', 'H3-3A']",H3-3A
breast carcinoma,breast epithelial cell,"['EIF4E2', 'PMAIP1', 'SLC35A1', 'FLT4', 'IL18RAP']",FLT4
breast carcinoma,breast epithelial cell,"['MAX', 'MAD1L1', 'ARFGAP2', 'IGFLR1', 'EYA4']",MAX
breast carcinoma,breast epithelial cell,"['PML', 'ZNF398', 'SLC7A8', 'WDR26', 'YWHAZ']",PML
breast carcinoma,breast epithelial cell,"['PRR15', 'PPARD', 'PRDX3', 'B3GALT5', 'FCRL4']",FCRL4
breast carcinoma,breast epithelial cell,"['SPDYE2B', 'TMEM25', 'TATDN1', 'LNCAROD', 'BRIP1']",BRIP1
breast carcinoma,breast epithelial cell,"['CASP3', 'SMYD5', 'MAOB', 'CFB', 'CCL8']",CASP3
breast carcinoma,breast epithelial cell,"['IRS2', 'THY1', 'CCM2', 'ENSG00000260613', 'NUTM1']",NUTM1
breast carcinoma,breast epithelial cell,"['PSG6', 'STEAP3', 'PAQR8', 'CRTC2', 'SWAP70']",SWAP70
breast carcinoma,breast epithelial cell,"['LINC01527', 'RRAS2', 'TTI1', 'IGHV3OR16-13', 'LINC01259']",RRAS2
breast carcinoma,breast epithelial cell,"['GTF3C1', 'VKORC1', 'MAFF', 'CDKN2C', 'PMPCB']",CDKN2C
breast carcinoma,breast epithelial cell,"['ENSG00000231539', 'RECQL4', 'ACSM4', 'BIRC2', 'GLA']",RECQL4
breast carcinoma,breast epithelial cell,"['GNAS', 'PDLIM4', 'THRA', 'TACC3', 'H2AC25']",GNAS
breast carcinoma,breast epithelial cell,"['CPLX2', 'TECRL', 'UBE4B', 'ATR', 'ROPN1']",ATR
breast carcinoma,breast epithelial cell,"['ZC3H8', 'NAMA', 'POLA1', 'PIBF1', 'NLRX1']",POLA1
breast carcinoma,breast epithelial cell,"['LMO3', 'RSRP1', 'HCN1', 'AVP', 'REEP5']",HCN1
breast carcinoma,breast epithelial cell,"['RIPK4', 'PGGT1B', 'RPL34', 'BSG', 'CES2']",PGGT1B
breast carcinoma,breast epithelial cell,"['C4BPA', 'HOXA13', 'ADCYAP1', 'TADA1', 'IRAK2']",HOXA13
breast carcinoma,breast epithelial cell,"['PTPN14', 'TDRD3', 'RNF182', 'FFAR2', 'GATA3']",GATA3
breast carcinoma,breast epithelial cell,"['MET', 'SLC44A2', 'KCNK10', 'MIR29B2CHG', 'CERS6']",MET
breast carcinoma,breast epithelial cell,"['ASB9', 'FKBP6', 'FBN3', 'CD8A', 'BCL2L12']",BCL2L12
breast carcinoma,breast epithelial cell,"['PDCD1LG2', 'RALBP1', 'C2orf49-DT', 'SETD5', 'DNAJC2']",PDCD1LG2
