disease,celltype,candidate_genes,y
chronic lymphocytic leukemia,b lymphocyte,"['DENR', 'CUX1', 'ZNF479', 'DNMBP', 'CYP3A4']",CUX1
chronic lymphocytic leukemia,b lymphocyte,"['TFG', 'AGL', 'COL3A1', 'CRAT', 'SOS1']",SOS1
chronic lymphocytic leukemia,b lymphocyte,"['MAP1LC3A', 'LCT', 'PDCD1LG2', 'FZD7', 'ADCY5']",PDCD1LG2
chronic lymphocytic leukemia,b lymphocyte,"['LTA', 'NME1', 'NT5C2', 'SLC2A4', 'RERE']",NT5C2
chronic lymphocytic leukemia,b lymphocyte,"['LDLR', 'ELK3', 'PSMC4', 'NEDD8', 'BTG1']",BTG1
chronic lymphocytic leukemia,b lymphocyte,"['GPD2', 'HNRNPK', 'LYZL6', 'RTEL1', 'KIT']",KIT
chronic lymphocytic leukemia,b lymphocyte,"['PAX3', 'SPHK1', 'STEAP1B', 'NDUFS4', 'GRB7']",PAX3
chronic lymphocytic leukemia,b lymphocyte,"['NAT10', 'KHSRP', 'CFTR', 'PTPRR', 'NOTCH2']",NOTCH2
chronic lymphocytic leukemia,b lymphocyte,"['GPR160', 'GPR183', 'SOX9', 'NOTCH2', 'HSD17B8']",NOTCH2
chronic lymphocytic leukemia,b lymphocyte,"['CDH3', 'SIGLEC7', 'MLF1', 'MIR29A', 'PTPMT1']",MLF1
chronic lymphocytic leukemia,b lymphocyte,"['SRC', 'GLS', 'GJA8', 'ICAM3', 'ANXA8L1']",SRC
chronic lymphocytic leukemia,b lymphocyte,"['ARL6IP5', 'ATP2A2', 'MN1', 'RUNX3', 'MOK']",MN1
chronic lymphocytic leukemia,b lymphocyte,"['PDE7A', 'CDKN3', 'RPL31', 'ELL', 'LRRFIP1']",ELL
chronic lymphocytic leukemia,b lymphocyte,"['CCDC6', 'FBL', 'SRGAP3', 'SHISA3', 'PDE4A']",CCDC6
chronic lymphocytic leukemia,b lymphocyte,"['ERAL1', 'GLIPR1', 'KLRG1', 'ABR', 'CHEK2']",CHEK2
chronic lymphocytic leukemia,b lymphocyte,"['WWC1', 'CILP2', 'PHF6', 'PLXNB2', 'SIPA1']",PHF6
chronic lymphocytic leukemia,b lymphocyte,"['CYP2D6', 'CTNND1', 'IKZF1', 'CLLU1', 'MIR650']",IKZF1
chronic lymphocytic leukemia,b lymphocyte,"['DOCK2', 'SLC43A2', 'ARID1B', 'GPD2', 'KITLG']",ARID1B
chronic lymphocytic leukemia,b lymphocyte,"['ULK4', 'CBLIF', 'ACTA1', 'BIRC2', 'SIGLEC1']",ULK4
chronic lymphocytic leukemia,b lymphocyte,"['SLC10A3', 'LIPF', 'MGAT5', 'RPL19', 'NCF2']",MGAT5
