disease,celltype,candidate_genes,y
colorectal carcinoma,intestinal epithelial cell,"['TPM2', 'NMNAT1', 'LINC00538', 'TLX1', 'RAP2B']",TLX1
colorectal carcinoma,intestinal epithelial cell,"['HOXB8', 'RRM2', 'HSF4', 'RGS16', 'SLC17A1']",RRM2
colorectal carcinoma,intestinal epithelial cell,"['TUBB', 'DMRT1', 'COL23A1', 'CENPB', 'CHD1L']",TUBB
colorectal carcinoma,intestinal epithelial cell,"['UGT2A3', 'EP300', 'IPO7', 'CDK10', 'CFP']",EP300
colorectal carcinoma,intestinal epithelial cell,"['MICOS10', 'TUB', 'XPA', 'DUXAP10', 'NEU3']",XPA
colorectal carcinoma,intestinal epithelial cell,"['FAM222A', 'BDNF', 'SIRT4', 'TRIM16L', 'DNALI1']",BDNF
colorectal carcinoma,intestinal epithelial cell,"['APPBP2', 'SKA3', 'CSDC2', 'TMED1', 'RSPO2']",RSPO2
colorectal carcinoma,intestinal epithelial cell,"['NRTN', 'DSE', 'MUC1', 'CCR1', 'TACC2']",MUC1
colorectal carcinoma,intestinal epithelial cell,"['KDM5C', 'KLF10', 'CPSF4', 'PRKAG1', 'GPR101']",KDM5C
colorectal carcinoma,intestinal epithelial cell,"['CT83', 'HOPX', 'TSC22D1', 'UGT2B4', 'SPRED2']",SPRED2
colorectal carcinoma,intestinal epithelial cell,"['HOOK3', 'MEIS3', 'OR10H5', 'DHTKD1', 'PDHA1']",HOOK3
colorectal carcinoma,intestinal epithelial cell,"['CHD2', 'SMIM31', 'TTC3', 'KIF20B', 'SAMD5']",CHD2
colorectal carcinoma,intestinal epithelial cell,"['H3P10', 'ZKSCAN2', 'GAN', 'JMJD4', 'CHRNA3']",H3P10
colorectal carcinoma,intestinal epithelial cell,"['SLFN13', 'SH2B3', 'RBM24', 'CKS2', 'DUXAP8']",SH2B3
colorectal carcinoma,intestinal epithelial cell,"['JAM2', 'TBXA2R', 'PLAAT1', 'SMARCD1', 'CIB2']",SMARCD1
colorectal carcinoma,intestinal epithelial cell,"['KCTD15', 'GDE1', 'NAT10', 'BAZ1B', 'SOAT2']",NAT10
colorectal carcinoma,intestinal epithelial cell,"['AIFM1', 'KLK15', 'PER3', 'ADRA2C', 'KRAS']",KRAS
colorectal carcinoma,intestinal epithelial cell,"['IAH1', 'TADA2A', 'CASP8AP2', 'KRIT1', 'CBL']",CBL
colorectal carcinoma,intestinal epithelial cell,"['BLNK', 'FKBP10', 'UGCG', 'TOP1', 'DUSP11']",TOP1
