disease,celltype,candidate_genes,y
endometrial carcinoma,endometrial epithelial cell,"['CHFR', 'USP44', 'LMO2', 'KANK2', 'IPO13']",LMO2
endometrial carcinoma,endometrial epithelial cell,"['RERE', 'AMY2A', 'TUBB', 'ARHGEF25', 'NDUFS6']",TUBB
endometrial carcinoma,endometrial epithelial cell,"['PRRG3', 'CIBAR2', 'GFRA1', 'IRS2', 'CDK12']",CDK12
endometrial carcinoma,endometrial epithelial cell,"['PRRT1', 'DPYSL3', 'HFE', 'ERLN', 'NFE2L2']",NFE2L2
endometrial carcinoma,endometrial epithelial cell,"['CHMP7', 'TRPS1', 'CYS1', 'DHFR', 'IGFBP1']",DHFR
endometrial carcinoma,endometrial epithelial cell,"['SERPINA6', 'TMOD2', 'SEPTIN4', 'ZFHX3', 'ELOVL5']",ZFHX3
endometrial carcinoma,endometrial epithelial cell,"['PIWIL1', 'CSF1', 'SPPL3', 'MAG', 'BUB1B']",BUB1B
endometrial carcinoma,endometrial epithelial cell,"['EIF1AX', 'PTPN6', 'PTPRK', 'HMGB3', 'TTK']",PTPRK
endometrial carcinoma,endometrial epithelial cell,"['TLX1', 'SHISAL1', 'RAB3GAP1', 'WFDC2', 'CIMIP1']",TLX1
endometrial carcinoma,endometrial epithelial cell,"['ANXA9', 'CALCR', 'RHOC', 'RARRES1', 'PAX5']",PAX5
endometrial carcinoma,endometrial epithelial cell,"['FOXO1', 'GABBR1', 'GSTM2', 'DNAAF6', 'ITGB3']",FOXO1
endometrial carcinoma,endometrial epithelial cell,"['ADGRA2', 'RGPD3', 'BEGAIN', 'NPY', 'FLCN']",FLCN
endometrial carcinoma,endometrial epithelial cell,"['SH2B3', 'APBB1IP', 'GOT2', 'ADCY9', 'ITPR2']",SH2B3
endometrial carcinoma,endometrial epithelial cell,"['PZP', 'CPLX1', 'MYH9', 'KLC1', 'ENSG00000285848']",MYH9
endometrial carcinoma,endometrial epithelial cell,"['TENT5C', 'YBX2', 'FNDC3B', 'PPP1R14B', 'IL11RA']",TENT5C
endometrial carcinoma,endometrial epithelial cell,"['ACTB', 'MRC1', 'HSPA4L', 'FXYD2', 'GPC3']",GPC3
endometrial carcinoma,endometrial epithelial cell,"['P4HA3', 'DHCR7-DT', 'CSDC2', 'CBFA2T3', 'SIPA1']",CBFA2T3
endometrial carcinoma,endometrial epithelial cell,"['ENKUR', 'OXTR', 'EBF4', 'SH3GL1', 'GADD45A']",SH3GL1
endometrial carcinoma,endometrial epithelial cell,"['FAM66C', 'PDE2A', 'LINC02166', 'BIRC3', 'ICOS']",BIRC3
endometrial carcinoma,endometrial epithelial cell,"['MT1A', 'PIK3CB', 'RNF144B', 'FRMD6-AS2', 'TACC3']",PIK3CB
