disease,celltype,candidate_genes,y
gastric carcinoma,gastric epithelial cell,"['F12', 'ASF1B', 'HLA-A', 'ERCC6L', 'PINX1']",HLA-A
gastric carcinoma,gastric epithelial cell,"['SH3PXD2A-AS1', 'PPP1R3E', 'GARIN1A', 'CD70', 'ZCCHC8']",ZCCHC8
gastric carcinoma,gastric epithelial cell,"['METTL3', 'AGMAT', 'RHOH', 'CLSTN1', 'KARS1']",RHOH
gastric carcinoma,gastric epithelial cell,"['IGHG3', 'CNTRL', 'RERGL', 'ZNF429', 'ITGA8']",CNTRL
gastric carcinoma,gastric epithelial cell,"['CPT1A', 'ABO', 'MTO1', 'ABCC1', 'FGFR3']",FGFR3
gastric carcinoma,gastric epithelial cell,"['ANXA9', 'TTL', 'EPHA10', 'BCL9L', 'ZBP1']",BCL9L
gastric carcinoma,gastric epithelial cell,"['C1orf162', 'PPBP', 'LNCOG', 'GPX4', 'HSP90AA1']",HSP90AA1
gastric carcinoma,gastric epithelial cell,"['MECOM', 'IDO1', 'F2RL3', 'ATP8A2', 'CDK7']",MECOM
gastric carcinoma,gastric epithelial cell,"['RCAN2', 'GPR166P', 'MTARC2', 'RSPO2', 'FJX1']",RSPO2
gastric carcinoma,gastric epithelial cell,"['HOXB3', 'ELF3', 'HOMER3', 'RAB37', 'YWHAZ']",ELF3
gastric carcinoma,gastric epithelial cell,"['DNM1L', 'PHF10', 'TAL1', 'FOXCUT', 'GHRL']",TAL1
gastric carcinoma,gastric epithelial cell,"['BMP5', 'UFL1', 'PSMB9', 'PAIP2B', 'MRPL35']",BMP5
gastric carcinoma,gastric epithelial cell,"['NSD3', 'BGLAP', 'LRP6', 'CD99', 'ACHE']",NSD3
gastric carcinoma,gastric epithelial cell,"['DCSTAMP', 'HYCC1', 'FAM47C', 'PFN1', 'S100A9']",FAM47C
gastric carcinoma,gastric epithelial cell,"['TDRD5', 'LINC02773', 'NUDT5', 'JAK1', 'P2RY1']",JAK1
gastric carcinoma,gastric epithelial cell,"['CTAG1A', 'H1-2', 'KLRD1', 'APOL6', 'PIK3R3']",PIK3R3
gastric carcinoma,gastric epithelial cell,"['PINX1', 'OR12D2', 'SEPTIN5', 'CNTNAP3', 'HBEGF']",SEPTIN5
gastric carcinoma,gastric epithelial cell,"['GFAP', 'CD4', 'TAL2', 'NOD2', 'ATXN3L']",TAL2
gastric carcinoma,gastric epithelial cell,"['NR1H3', 'CLEC10A', 'MTOR', 'EED', 'ATAD1']",MTOR
gastric carcinoma,gastric epithelial cell,"['GNL3', 'RHO', 'GDF15', 'RAD51B', 'FABP1']",RAD51B
gastric carcinoma,gastric epithelial cell,"['HGF', 'HMGB3', 'TJP2', 'SHROOM3', 'AMIGO2']",HGF
gastric carcinoma,gastric epithelial cell,"['MED12', 'SNHG15', 'H3C8', 'GINS1', 'VWA1']",MED12
