disease,celltype,candidate_genes,y
glioblastoma,astrocyte,"['DARS2', 'DNER', 'MMP2', 'EIF4G2', 'SETD1A']",MMP2
glioblastoma,astrocyte,"['ORAI3', 'KIFAP3', 'MLLT10', 'NEFL', 'GSTM1']",NEFL
glioblastoma,astrocyte,"['ALDH7A1', 'DANCR', 'F8', 'IDO2', 'LGALS1']",ALDH7A1
glioblastoma,astrocyte,"['CD1D', 'KLF16', 'JAG1', 'UBR5', 'RLN3']",CD1D
glioblastoma,astrocyte,"['ALKAL2', 'IMMP2L', 'RAD18', 'RAB42', 'EPHA3']",EPHA3
glioblastoma,astrocyte,"['OTULIN', 'MLANA', 'CA3', 'POU5F1P3', 'IGF2']",POU5F1P3
glioblastoma,astrocyte,"['MT1H', 'ID1', 'ABAT', 'MUC19', 'MAVS']",ID1
glioblastoma,astrocyte,"['OLIG1', 'ELOC', 'HEY2', 'ENPP3', 'HAVCR2']",HAVCR2
glioblastoma,astrocyte,"['PLK5', 'LHX6', 'HMGN5', 'PTS', 'FUCA2']",HMGN5
glioblastoma,astrocyte,"['ANXA6', 'LSP1', 'IL13', 'PURA', 'ZNF326']",IL13
glioblastoma,astrocyte,"['MYL2', 'NEK9', 'GAPDH', 'F9', 'H4C13']",GAPDH
glioblastoma,astrocyte,"['PRLR', 'RYK', 'NFKB1', 'LINC00520', 'FADD']",NFKB1
glioblastoma,astrocyte,"['SETD2', 'HES1', 'CD53', 'SMC2', 'CEP70']",SETD2
glioblastoma,astrocyte,"['YY1AP1', 'SHROOM3', 'GNL1', 'PDIA3P1', 'HES3']",YY1AP1
glioblastoma,astrocyte,"['TRAF2', 'CD109', 'TRIP13', 'EBI3', 'DHRS4']",CD109
glioblastoma,astrocyte,"['RAG2', 'GRIN1', 'PROKR2', 'PHLPP1', 'FITM2']",PHLPP1
glioblastoma,astrocyte,"['IL4I1', 'MIR92A1', 'NRBP2', 'PLD1', 'MIR222']",PLD1
glioblastoma,astrocyte,"['ZNF528', 'AHR', 'KLK1', 'PCNP', 'AXL']",AHR
glioblastoma,astrocyte,"['TUBB4B', 'MAOB', 'IFNAR1', 'NT5DC2', 'CYLD']",MAOB
glioblastoma,astrocyte,"['CLTC', 'GPAT4', 'ROCK1', 'IL17A', 'PRB4']",ROCK1
glioblastoma,astrocyte,"['HM13', 'RIGI', 'PDIA6', 'KDM2B', 'KCNIP3']",KDM2B
glioblastoma,astrocyte,"['SRRM2', 'YAP1', 'FAM87A', 'PCDHB10', 'CASZ1']",YAP1
glioblastoma,astrocyte,"['MYT1L', 'REP15', 'IPO13', 'NUP50', 'ATP6V0A2']",MYT1L
glioblastoma,astrocyte,"['MAP3K19', 'SNORA80E', 'RBPJ', 'PTPRS', 'CUL3']",RBPJ
glioblastoma,astrocyte,"['SLC2A3', 'TRIM14', 'TLE1', 'WDR1', 'CNTF']",TRIM14
glioblastoma,astrocyte,"['H2BC21', 'SLC12A5', 'BGLAP', 'MDM2', 'H3P10']",MDM2
glioblastoma,astrocyte,"['C6orf47', 'TGM2', 'CTNNB1', 'ABCA3', 'HMGB3']",TGM2
glioblastoma,astrocyte,"['CORO1A', 'CILK1', 'PPARA', 'STK3', 'MED13']",PPARA
glioblastoma,astrocyte,"['TC2N', 'SLC2A1', 'HULC', 'TONSL', 'BRIP1']",SLC2A1
glioblastoma,astrocyte,"['CHD1', 'KLF9', 'IDO1', 'TRPC7', 'RASA1']",IDO1
glioblastoma,astrocyte,"['KIF15', 'RIMKLB', 'LAMA5', 'MZB1', 'TEAD4']",KIF15
glioblastoma,astrocyte,"['RPE65', 'ATP6V0A1', 'LTBP4', 'DPP3', 'TRIM7']",TRIM7
glioblastoma,astrocyte,"['STAT2', 'SLC25A37', 'ZDHHC9', 'SNAI2', 'MAP3K8']",SNAI2
glioblastoma,astrocyte,"['ATM', 'ARMC9', 'IFNA14', 'NTF3', 'MSH4']",ATM
glioblastoma,astrocyte,"['EIF3A', 'TPP1', 'CD38', 'RNF135', 'H3P40']",RNF135
glioblastoma,astrocyte,"['BPTF', 'CHSY3', 'USP9X', 'CCL20', 'MCM8']",USP9X
glioblastoma,astrocyte,"['CELP', 'P2RX4', 'IGHE', 'HMOX1', 'SMAD3']",IGHE
glioblastoma,astrocyte,"['MALT1', 'HPSE', 'LNPK', 'CXCL1', 'MT1F']",HPSE
glioblastoma,astrocyte,"['RAF1', 'LY6K', 'USP32', 'MAGEH1', 'BYSL']",RAF1
glioblastoma,astrocyte,"['CASP4', 'KCND3', 'PEA15', 'EMP3', 'CTLA4']",EMP3
glioblastoma,astrocyte,"['FANCI', 'INF2', 'RIPK1', 'NGB', 'NTF3']",INF2
glioblastoma,astrocyte,"['PCSK1', 'GIPC2', 'ALPG', 'PRKCE', 'CNTN3']",PRKCE
glioblastoma,astrocyte,"['KMT2A', 'UBC', 'OTULIN', 'HEPACAM', 'PPP6C']",PPP6C
glioblastoma,astrocyte,"['DRD4', 'TLX2', 'FOXS1', 'THBD', 'ANXA4']",TLX2
glioblastoma,astrocyte,"['MAP3K1', 'UGT1A6', 'SLFN5', 'TONSL', 'PLAUR']",PLAUR
glioblastoma,astrocyte,"['CBY1', 'TRIM45', 'CAB39', 'CEBPB', 'CIDEA']",CEBPB
glioblastoma,astrocyte,"['NHLH1', 'EGLN3', 'CRK', 'APAF1', 'TSACC']",EGLN3
glioblastoma,astrocyte,"['LIN28A', 'TNFSF10', 'ARHGEF12', 'PRDM2', 'CEBPA']",TNFSF10
glioblastoma,astrocyte,"['SLC25A37', 'TSPAN10', 'ITGAE', 'P2RX1', 'MIR376B']",ITGAE
glioblastoma,astrocyte,"['MGAT5', 'PRSS55', 'DHFR', 'CDC20', 'PSEN2']",PRSS55
