disease,celltype,candidate_genes,y
head and neck squamous cell carcinoma,squamous epithelial cell,"['TMEM116', 'LOX', 'FNBP1', 'IL4', 'DLG3']",FNBP1
head and neck squamous cell carcinoma,squamous epithelial cell,"['ZNF254', 'BACE1-AS', 'GAS7', 'CLDN6', 'INHBB']",GAS7
head and neck squamous cell carcinoma,squamous epithelial cell,"['TMEM87B', 'COLGALT1', 'LINC00355', 'ZNF662', 'FGFR1']",FGFR1
head and neck squamous cell carcinoma,squamous epithelial cell,"['LINC00996', 'ENSG00000288534', 'PLA2G3', 'PKLR', 'PAX3']",PAX3
head and neck squamous cell carcinoma,squamous epithelial cell,"['RPS9', 'CD46', 'PARG', 'ERCC3', 'FABP5']",ERCC3
head and neck squamous cell carcinoma,squamous epithelial cell,"['BNC2', 'HAX1', 'KREMEN2', 'SETD2', 'ADCYAP1']",SETD2
head and neck squamous cell carcinoma,squamous epithelial cell,"['CDH17', 'TAF1L', 'CYP2A6', 'ISCU', 'CDH4']",CDH17
head and neck squamous cell carcinoma,squamous epithelial cell,"['RACK1', 'PRNP', 'LASP1', 'SLC11A2', 'CADM1']",LASP1
head and neck squamous cell carcinoma,squamous epithelial cell,"['STK11', 'TECR', 'ZNF418', 'NMRK1', 'SOD2']",STK11
head and neck squamous cell carcinoma,squamous epithelial cell,"['CASP10', 'SEC11C', 'SDCBP2', 'NDC1', 'KAT6A']",KAT6A
head and neck squamous cell carcinoma,squamous epithelial cell,"['YAP1', 'ANOS1', 'TRIM56', 'REXO1', 'CENPX']",YAP1
head and neck squamous cell carcinoma,squamous epithelial cell,"['ASB6', 'CCNG2', 'SPAG6', 'SP6', 'POU5F1P3']",POU5F1P3
head and neck squamous cell carcinoma,squamous epithelial cell,"['RHOA', 'EMP2', 'TAF5', 'TMEM98', 'PMM2']",RHOA
head and neck squamous cell carcinoma,squamous epithelial cell,"['PEX7', 'ADNP', 'NCOA2', 'DSCC1', 'HTR2C']",NCOA2
head and neck squamous cell carcinoma,squamous epithelial cell,"['WEE1', 'IL18BP', 'TPM2', 'PDCD6IP', 'SAMD1']",WEE1
head and neck squamous cell carcinoma,squamous epithelial cell,"['LRIG1', 'WASF2', 'GPR42', 'METTL16', 'FLT1']",FLT1
head and neck squamous cell carcinoma,squamous epithelial cell,"['TMEM237', 'VAT1', 'CLOCK', 'AFF1', 'COL22A1']",AFF1
head and neck squamous cell carcinoma,squamous epithelial cell,"['TACR1', 'MEFV', 'RNF216P1', 'EBP', 'PIK3R3']",PIK3R3
