disease,celltype,candidate_genes,y
hepatocellular carcinoma,hepatocyte,"['FABP12', 'NBR1', 'NYNRIN', 'LAIR2', 'FOXH1']",NYNRIN
hepatocellular carcinoma,hepatocyte,"['RETN', 'COX6B1', 'RAD18', 'USP35', 'S100A4']",S100A4
hepatocellular carcinoma,hepatocyte,"['OLFM4', 'TBC1D3', 'ADAMTS13', 'RAPGEF3', 'RAP2A']",ADAMTS13
hepatocellular carcinoma,hepatocyte,"['SLC26A2', 'SLX4', 'XRCC2', 'MLXIPL', 'CAPZB']",SLX4
hepatocellular carcinoma,hepatocyte,"['CUBN', 'CLCF1', 'SLC44A5', 'DEPTOR', 'ABI1']",ABI1
hepatocellular carcinoma,hepatocyte,"['LARP1', 'UPK1A-AS1', 'ELF5', 'TUBB1', 'GRHL3']",TUBB1
hepatocellular carcinoma,hepatocyte,"['HMCES', 'ARSB', 'ALDH6A1', 'PCSK4', 'USP7']",USP7
hepatocellular carcinoma,hepatocyte,"['AKT3', 'SVEP1', 'ARID4A', 'COX7A2L', 'CYP2A7']",AKT3
hepatocellular carcinoma,hepatocyte,"['CST3', 'ABCG1', 'FTMT', 'MYCN', 'IK']",MYCN
hepatocellular carcinoma,hepatocyte,"['UBE2QL1', 'ROBO1', 'NKX2-4', 'KCNU1', 'CCDC91']",ROBO1
hepatocellular carcinoma,hepatocyte,"['NAXE', 'PLSCR4', 'CLIP1', 'HDAC10', 'CHAF1B']",CLIP1
hepatocellular carcinoma,hepatocyte,"['SIRT3', 'SHROOM3', 'CDCA7L', 'COPS3', 'UBTD1']",SIRT3
hepatocellular carcinoma,hepatocyte,"['PTGS2', 'PSMC3', 'PINX1', 'CRYBG2', 'YIPF3']",PTGS2
hepatocellular carcinoma,hepatocyte,"['DUBR', 'SAMD4B', 'UPF1', 'PAWR', 'DNAJC24']",UPF1
hepatocellular carcinoma,hepatocyte,"['ADAT2', 'RPL12P38', 'PXMP2', 'ERG', 'CIRSR']",ERG
hepatocellular carcinoma,hepatocyte,"['SYNE2', 'NOP58', 'CT47A1', 'MTMR9', 'RELA']",RELA
hepatocellular carcinoma,hepatocyte,"['CNR1', 'SDC4P', 'FANCD2OS', 'TEAD3', 'EIF2B4']",FANCD2OS
hepatocellular carcinoma,hepatocyte,"['TVP23C-CDRT4', 'H3C4', 'G6PD', 'LYPD1', 'SLC2A12']",G6PD
hepatocellular carcinoma,hepatocyte,"['PRODH', 'RPP30', 'BRD4', 'S100A10', 'PIGY']",BRD4
hepatocellular carcinoma,hepatocyte,"['CYP1A1', 'MCRS1', 'TEX11', 'CDKN2B', 'DDX23']",CDKN2B
hepatocellular carcinoma,hepatocyte,"['FH', 'ESCO2', 'TAP2', 'SELPLG', 'MCOLN3']",FH
hepatocellular carcinoma,hepatocyte,"['ATR', 'ZNF140', 'PIP', 'ISCU', 'RNF217']",ATR
hepatocellular carcinoma,hepatocyte,"['CCDC144NL', 'ZDHHC2', 'SAMM50', 'IGF2BP3', 'RGS18']",IGF2BP3
hepatocellular carcinoma,hepatocyte,"['TMEM132B', 'CHN2', 'SEC14L2', 'PDE10A', 'UCK2']",UCK2
hepatocellular carcinoma,hepatocyte,"['SYK', 'USF2', 'NBR2', 'TUSC3', 'HK1']",SYK
hepatocellular carcinoma,hepatocyte,"['SATB1', 'NCEH1', 'SRSF2', 'PIP4K2C', 'MGAT4B']",SRSF2
hepatocellular carcinoma,hepatocyte,"['DOCK8', 'RGPD5', 'RASSF6', 'WDR48', 'OTUB1']",DOCK8
hepatocellular carcinoma,hepatocyte,"['TPTE2', 'EIF4A1', 'ST3GAL4', 'ENSG00000262003', 'YY1AP1']",YY1AP1
hepatocellular carcinoma,hepatocyte,"['NDST3', 'HNRNPA2B1', 'HTR2B', 'ATP6V1E1', 'PPIAP22']",HNRNPA2B1
hepatocellular carcinoma,hepatocyte,"['TLNRD1', 'PSMD7', 'PON3', 'FCRL4', 'AHSA2P']",FCRL4
hepatocellular carcinoma,hepatocyte,"['SLC27A4', 'FAM13C', 'MDM2', 'CST5', 'YIPF2']",MDM2
hepatocellular carcinoma,hepatocyte,"['CSMD3', 'NRG2', 'IL7', 'HLA-B', 'PCSK1N']",CSMD3
hepatocellular carcinoma,hepatocyte,"['KRIT1', 'BATF3', 'SFRP1', 'FYCO1', 'CSPG4P12']",SFRP1
hepatocellular carcinoma,hepatocyte,"['LRRC25', 'GEN1', 'COL11A2', 'MAPK8', 'CHKB-CPT1B']",MAPK8
hepatocellular carcinoma,hepatocyte,"['RAC3', 'LRP11', 'DDC', 'BAALC-AS1', 'STAT1']",STAT1
hepatocellular carcinoma,hepatocyte,"['GK', 'LINC00624', 'KDM6B', 'PHF6', 'DPP8']",PHF6
hepatocellular carcinoma,hepatocyte,"['MIR548XHG', 'HS3ST1', 'ACE', 'ESAM', 'IFIT5']",ACE
hepatocellular carcinoma,hepatocyte,"['DDI2', 'PDGFB', 'RIPK2', 'MIR31HG', 'ENOX2']",PDGFB
hepatocellular carcinoma,hepatocyte,"['LGALS4', 'IGHV3-7', 'TRBV1', 'CELP', 'FLT4']",FLT4
hepatocellular carcinoma,hepatocyte,"['FANCD2', 'PTAFR', 'PPP1R12C', 'STX1A', 'LINC00844']",FANCD2
hepatocellular carcinoma,hepatocyte,"['SCMH1', 'HP', 'PCYT1B', 'ZNF618', 'ACTL6B']",HP
hepatocellular carcinoma,hepatocyte,"['DNM2', 'NCKAP1', 'FBXL5', 'LINC02428', 'SIK3']",DNM2
hepatocellular carcinoma,hepatocyte,"['SLC25A5', 'AKR1C3', 'TESMIN', 'ALDH7A1', 'STX16']",AKR1C3
hepatocellular carcinoma,hepatocyte,"['KDM5D', 'NPIPA2', 'COMMD7', 'NFKBIB', 'MECOM']",MECOM
hepatocellular carcinoma,hepatocyte,"['RSL24D1', 'POLI', 'U7', 'BRD4', 'MB']",BRD4
hepatocellular carcinoma,hepatocyte,"['TNKS', 'MYC', 'MZB1', 'FAM245A', 'IGHV3-66']",MYC
hepatocellular carcinoma,hepatocyte,"['BRF1', 'TUBB2A', 'BIRC8', 'EFS', 'CD59']",TUBB2A
hepatocellular carcinoma,hepatocyte,"['ABCD4', 'CST5', 'ITGAV', 'LRRC45', 'DLX1']",ITGAV
hepatocellular carcinoma,hepatocyte,"['TSEN54', 'SUGP1', 'PLCB3', 'COL4A1', 'C1QTNF4']",SUGP1
hepatocellular carcinoma,hepatocyte,"['CAMTA1', 'P2RX5', 'INTU', 'TMSB15A', 'KLK10']",CAMTA1
