disease,celltype,candidate_genes,y
lung carcinoma,lung epithelial cell,"['DYNC1I1', 'CYTOR', 'DAPK2', 'DCLRE1A', 'ACSS2']",CYTOR
lung carcinoma,lung epithelial cell,"['SORBS1', 'CAMLG', 'RAG2', 'ITGAX', 'SPATA2']",SPATA2
lung carcinoma,lung epithelial cell,"['PDE3A', 'SNHG21', 'AQP3', 'MYH15', 'POC1A']",AQP3
lung carcinoma,lung epithelial cell,"['TBX20', 'MT-CO2', 'DPPA2', 'CEMIP', 'SASH3']",MT-CO2
lung carcinoma,lung epithelial cell,"['MGAT4C', 'DNAJC5', 'PCDHB5', 'ANXA7', 'TRIM27']",TRIM27
lung carcinoma,lung epithelial cell,"['PPP1R15B', 'PGM5P4', 'SASS6', 'ZBTB5', 'DHFR']",DHFR
lung carcinoma,lung epithelial cell,"['PXN', 'SSBP1', 'AQP4', 'CCL16', 'STMN3']",AQP4
lung carcinoma,lung epithelial cell,"['MAP3K13', 'MSC-AS1', 'DOCK10', 'SGMS2', 'BIK']",MAP3K13
lung carcinoma,lung epithelial cell,"['LEISA1', 'NOTCH2NLC', 'MINDY3', 'COG8', 'FLI1']",FLI1
lung carcinoma,lung epithelial cell,"['MYC', 'RBM17', 'DCAF1', 'GPRASP3', 'SH2D2A']",MYC
lung carcinoma,lung epithelial cell,"['CCL15', 'DDC', 'MS4A6A', 'PPP2R1A', 'PLK4']",PPP2R1A
lung carcinoma,lung epithelial cell,"['LINC00682', 'ATF1', 'RETREG2', 'GPR150', 'LNCEGFL7OS']",ATF1
lung carcinoma,lung epithelial cell,"['EIF4E3', 'H3-3B', 'WDR3', 'LGALS2', 'LZTFL1']",H3-3B
lung carcinoma,lung epithelial cell,"['IER5L', 'PRKCZ', 'AK3', 'CEPT1', 'MLH1']",MLH1
lung carcinoma,lung epithelial cell,"['FKBP9', 'DTX3', 'GTPBP4', 'SPTA1', 'TMEM219']",FKBP9
lung carcinoma,lung epithelial cell,"['WFDC2', 'ARHGEF5', 'P4HTM', 'MPP4', 'TAF10']",WFDC2
lung carcinoma,lung epithelial cell,"['HCG22', 'SEC14L4', 'PTPN3', 'WNT6', 'PHOX2B']",PHOX2B
lung carcinoma,lung epithelial cell,"['MRPS15', 'FRMPD1', 'TLR7', 'MXI1', 'SDC3']",TLR7
lung carcinoma,lung epithelial cell,"['CCL3L3', 'MIR187', 'IGF1R', 'WNT5A', 'MT-RNR2']",IGF1R
lung carcinoma,lung epithelial cell,"['ENC1', 'PDC', 'TDP1', 'CDH17', 'EIF3H']",CDH17
