disease,celltype,candidate_genes,y
melanoma,melanocyte,"['TAF8', 'COL1A1', 'ANPEP', 'GOT2', 'LMTK3']",COL1A1
melanoma,melanocyte,"['EGLN1', 'PLCD3', 'MME', 'VCX2', 'AHR']",AHR
melanoma,melanocyte,"['IL10RB', 'SASH1', 'H4C14', 'PLA2G4E', 'GNA12']",H4C14
melanoma,melanocyte,"['CNR2', 'DGAT2', 'RBX1', 'CBX2', 'TMEM200A']",RBX1
melanoma,melanocyte,"['FZD4', 'TRDD3', 'EI24', 'COPS4', 'MALT1']",MALT1
melanoma,melanocyte,"['ATAD1', 'SEPTIN6', 'EGR3', 'DLG4', 'CHST4']",SEPTIN6
melanoma,melanocyte,"['DLX2', 'BHLHE22', 'IREB2', 'YRDC', 'DICER1']",DICER1
melanoma,melanocyte,"['PLCB1', 'NACA', 'GAMT', 'EIF2A', 'ABCC8']",NACA
melanoma,melanocyte,"['DNAH10', 'TPCN2', 'RAD18', 'PGR', 'BIK']",TPCN2
melanoma,melanocyte,"['FABP7', 'SLC24A4', 'B4GALT5', 'CENPM', 'KRR1']",SLC24A4
melanoma,melanocyte,"['GGTLC1', 'ACKR3', 'XIRP1', 'TES', 'NSDHL']",ACKR3
melanoma,melanocyte,"['SVEP1', 'L3MBTL2', 'IKZF3', 'ENSG00000276449', 'PCDHGC3']",IKZF3
melanoma,melanocyte,"['ATXN3', 'FCGR3A', 'MAGEC2', 'CYLD', 'TRIM49']",CYLD
melanoma,melanocyte,"['NFKB1', 'ENPP3', 'GPR84', 'PDLIM4', 'ABI1']",ABI1
melanoma,melanocyte,"['PSMA3', 'DAG1', 'CALHM3', 'STAP1', 'GNAS']",GNAS
melanoma,melanocyte,"['MGAT5', 'CENPB', 'SIX1', 'PAPOLA', 'ICOSLG']",SIX1
melanoma,melanocyte,"['GBA3', 'SLC2A1', 'HDAC4', 'NR1H4', 'EGFL6']",HDAC4
melanoma,melanocyte,"['CCKBR', 'IDE', 'LATS2', 'TRPM1', 'USP11']",LATS2
melanoma,melanocyte,"['CLP1', 'SRCIN1', 'RGS16', 'TBC1D5', 'GNRH1']",CLP1
