disease,celltype,candidate_genes,y
multiple myeloma,plasma cell,"['HES6', 'CYP2D6', 'SELENOI', 'MAF', 'LARP4B']",MAF
multiple myeloma,plasma cell,"['GZMB', 'ITGAM', 'HOOK3', 'MAP2K4', 'PDAP1']",MAP2K4
multiple myeloma,plasma cell,"['NHERF2', 'EYA3', 'TMEM33', 'H2AC16', 'IGLC2']",H2AC16
multiple myeloma,plasma cell,"['IL11', 'G6PD', 'CDC42', 'RELT', 'ACKR3']",ACKR3
multiple myeloma,plasma cell,"['NPHS2', 'PRR14', 'MIR17HG', 'SMAD3', 'DNM1L']",SMAD3
multiple myeloma,plasma cell,"['KMO', 'IFNGR2', 'LRRC23', 'AOPEP', 'IKZF3']",IKZF3
multiple myeloma,plasma cell,"['JAK3', 'CDR2', 'ATN1', 'ST6GAL1', 'KLF13']",JAK3
multiple myeloma,plasma cell,"['CXCR3', 'IPO7', 'NTRK2', 'EBI3', 'POU2F2']",NTRK2
multiple myeloma,plasma cell,"['GALC', 'KLF1', 'OTX1', 'IGHV2-26', 'PALB2']",PALB2
multiple myeloma,plasma cell,"['HIP1', 'KDM6B', 'NOP10', 'IGHV3-11', 'ALDH1A1']",HIP1
multiple myeloma,plasma cell,"['IRS4', 'CXADRP1', 'SUCLG2', 'CD84', 'F7']",IRS4
multiple myeloma,plasma cell,"['LINC01194', 'SLCO1B1', 'ACKR2', 'PPP6C', 'SLC5A5']",PPP6C
multiple myeloma,plasma cell,"['CCND2', 'PCAT1', 'ATAD1', 'CD40', 'CDC25C']",CCND2
multiple myeloma,plasma cell,"['SPOP', 'FUT1', 'PICALM', 'BTBD1', 'MBP']",SPOP
multiple myeloma,plasma cell,"['DNAH8', 'IKBKG', 'ANGPT2', 'CPT2', 'MAF']",MAF
multiple myeloma,plasma cell,"['BZW2', 'CDH11', 'TPSD1', 'TMIGD2', 'ACTG1']",CDH11
multiple myeloma,plasma cell,"['ARID4A', 'GNPAT', 'NXF1', 'H3C1', 'DEFA1B']",H3C1
