disease,celltype,candidate_genes,y
neuroblastoma,neural crest cell,"['ADRA2B', 'DHCR7', 'UQCRFS1', 'MTOR', 'PIK3R3']",MTOR
neuroblastoma,neural crest cell,"['AXL', 'GNAS', 'TNFRSF10D', 'CRHR1', 'BAIAP2L2']",GNAS
neuroblastoma,neural crest cell,"['CCDC174', 'DCLK3', 'IFITM1', 'BRK1', 'GTF2B']",CCDC174
neuroblastoma,neural crest cell,"['EIF2B3', 'CLEC7A', 'KIF1B', 'UBE2N', 'PLCG2']",KIF1B
neuroblastoma,neural crest cell,"['MAP1S', 'SMAD1', 'TSC1', 'DYRK2', 'CDC25A']",TSC1
neuroblastoma,neural crest cell,"['NAP1L1', 'WEE1', 'HNRNPR', 'WDR77', 'SERPINC1']",WEE1
neuroblastoma,neural crest cell,"['DEPTOR', 'LBX1', 'SMCR8', 'CYP26A1', 'PAX7']",PAX7
neuroblastoma,neural crest cell,"['IGFBP1', 'CGB3', 'POLE3', 'CELF2', 'ZFAS1']",POLE3
neuroblastoma,neural crest cell,"['SUZ12', 'ZNF629', 'CYP3A4', 'STS', 'MANEA']",SUZ12
neuroblastoma,neural crest cell,"['RAPSN', 'IL7R', 'GRIN2A', 'RRM1', 'GNA13']",RRM1
neuroblastoma,neural crest cell,"['PTPRC', 'SYN2', 'AFF1', 'TSHR', 'PRMT3']",AFF1
neuroblastoma,neural crest cell,"['FOXM1', 'SLIT2', 'EMCN', 'BNIP2', 'RIPK4']",FOXM1
neuroblastoma,neural crest cell,"['MDK', 'ARHGEF25', 'GIGYF1', 'GPRC5B', 'RPL8']",MDK
neuroblastoma,neural crest cell,"['ASAP2', 'ETV4', 'H3P17', 'FOSB', 'TMOD2']",ETV4
neuroblastoma,neural crest cell,"['SNORD116', 'FGF7', 'ZSCAN1', 'CSF2', 'CYP11A1']",CSF2
neuroblastoma,neural crest cell,"['USP36', 'DGKH', 'WEE1', 'ZNF341', 'IFNAR1']",WEE1
neuroblastoma,neural crest cell,"['PDLIM3', 'BMPER', 'PRKAA2', 'TEX14', 'LMO1']",LMO1
neuroblastoma,neural crest cell,"['TERF1', 'DLG3', 'DPP6', 'LGALS7', 'PRDM16']",PRDM16
neuroblastoma,neural crest cell,"['FADD', 'RELA', 'FBXW7', 'MTOR', 'DEFA1']",MTOR
neuroblastoma,neural crest cell,"['FOXO1', 'CTNNA1', 'USP18', 'UNG', 'TXN']",FOXO1
neuroblastoma,neural crest cell,"['MAP2K7', 'SELENOW', 'PHPT1', 'AGXT', 'PRND']",MAP2K7
neuroblastoma,neural crest cell,"['SH3PXD2A', 'LIMD2', 'SOX1', 'NORAD', 'ERBB2']",ERBB2
neuroblastoma,neural crest cell,"['MIR100HG', 'RUNX3', 'RNF26', 'RARA', 'CD19']",RARA
neuroblastoma,neural crest cell,"['SLC33A1', 'SF3B1', 'DYRK1B', 'NSMCE1', 'CSNK1A1L']",SF3B1
neuroblastoma,neural crest cell,"['SRRM4', 'ELOA2', 'CDK4', 'SAMTOR', 'VRK3']",CDK4
neuroblastoma,neural crest cell,"['GTSE1', 'MUC1', 'TMPO', 'HS6ST1', 'LEP']",LEP
neuroblastoma,neural crest cell,"['EIF5A', 'MCRS1', 'NIN', 'CHN1', 'CP']",NIN
neuroblastoma,neural crest cell,"['CSNK1A1L', 'TSN', 'METTL1', 'PREX2', 'NPY5R']",PREX2
neuroblastoma,neural crest cell,"['PELP1', 'HNF1A', 'VBP1', 'DNAJB1', 'PRG2']",HNF1A
neuroblastoma,neural crest cell,"['CACNA1D', 'GAD1', 'SOX9', 'MAPK1', 'THTPA']",CACNA1D
neuroblastoma,neural crest cell,"['SGCB', 'NXPH1', 'NR4A1', 'CDK12', 'MLLT11']",CDK12
neuroblastoma,neural crest cell,"['CHST4', 'PPP2R2A', 'RET', 'TRMT6', 'COLEC10']",RET
neuroblastoma,neural crest cell,"['H3C13', 'PSMB2', 'U2AF1', 'PENK', 'IL18']",U2AF1
neuroblastoma,neural crest cell,"['PDYN', 'PROM1', 'REXO2', 'TH', 'DDHD1']",PROM1
neuroblastoma,neural crest cell,"['NMUR1', 'FOXO3', 'USP30', 'SDC2', 'CLSPN']",FOXO3
neuroblastoma,neural crest cell,"['SARDH', 'CHMP2A', 'SSX1', 'SLC43A3', 'FLI1']",FLI1
neuroblastoma,neural crest cell,"['EP300', 'SLC2A3', 'NRIP1', 'F13A1', 'SNAP25']",EP300
neuroblastoma,neural crest cell,"['TAPBP', 'FDPS', 'CEP131', 'APTX', 'KIFC2']",FDPS
neuroblastoma,neural crest cell,"['ITLN1', 'FGFR1', 'SLC25A6', 'GSTP1', 'SELL']",FGFR1
neuroblastoma,neural crest cell,"['GPR61', 'SNCA', 'MAT1A', 'IER3', 'EEF2']",SNCA
neuroblastoma,neural crest cell,"['P2RX2', 'DPP3', 'CEACAM5', 'GTSE1', 'PTPRT']",PTPRT
neuroblastoma,neural crest cell,"['FERMT2', 'MBTPS1', 'PRPSAP1', 'FBXO11', 'MYO5B']",FBXO11
neuroblastoma,neural crest cell,"['TNFSF10', 'TGFBR2', 'SEC14L2', 'GALNT6', 'TSC22D3']",TGFBR2
neuroblastoma,neural crest cell,"['ARC', 'L1TD1', 'RNASE1', 'GNRH1', 'H2BC12']",L1TD1
neuroblastoma,neural crest cell,"['PRG2', 'RPGRIP1L', 'RBX1', 'WNK2', 'BCL9L']",RBX1
neuroblastoma,neural crest cell,"['DCLRE1C', 'SAA2', 'TOP1MT', 'MIR152', 'PALB2']",TOP1MT
neuroblastoma,neural crest cell,"['P2RY6', 'EZH2', 'ACAA2', 'CYTH1', 'CD86']",EZH2
neuroblastoma,neural crest cell,"['H3P19', 'HLA-G', 'GPC2', 'SEMA3C', 'HOXA4']",GPC2
neuroblastoma,neural crest cell,"['MCPH1', 'COIL', 'RPL17-C18orf32', 'VASP', 'POR']",RPL17-C18orf32
neuroblastoma,neural crest cell,"['NOS1', 'RAB3B', 'PRKAA1', 'DRAIC', 'YAP1']",YAP1
