disease,celltype,candidate_genes,y
non-Hodgkin lymphoma,b lymphocyte,"['SYNCRIP', 'CDK9', 'RPS3', 'FCRL6', 'TFDP3']",CDK9
non-Hodgkin lymphoma,b lymphocyte,"['CDK13', 'LRRC66', 'TRIB2', 'LAP3', 'RFX7']",RFX7
non-Hodgkin lymphoma,b lymphocyte,"['TFAP2B', 'PRSS2', 'ARL11', 'HTATIP2', 'MYDGF']",ARL11
non-Hodgkin lymphoma,b lymphocyte,"['TIMP2', 'TMPO', 'TCF12', 'MC5R', 'APOBEC3H']",TCF12
non-Hodgkin lymphoma,b lymphocyte,"['ACER2', 'PPL', 'TOGARAM1', 'GPR156', 'MAML2']",MAML2
non-Hodgkin lymphoma,b lymphocyte,"['LINC00665', 'POU5F1', 'TNIP1', 'RNF11', 'SCAF11']",POU5F1
non-Hodgkin lymphoma,b lymphocyte,"['DNASE1', 'HYAL2', 'FZD6', 'GSTO2', 'PDGFRB']",PDGFRB
non-Hodgkin lymphoma,b lymphocyte,"['H3P33', 'SDHAF2', 'PTS', 'POU2AF2', 'PHF1']",SDHAF2
non-Hodgkin lymphoma,b lymphocyte,"['STUB1', 'SSX1', 'MPZ', 'MBNL1', 'ABCC5']",SSX1
non-Hodgkin lymphoma,b lymphocyte,"['GAS5', 'IL21R', 'UBL5', 'STXBP1', 'UCA1']",IL21R
non-Hodgkin lymphoma,b lymphocyte,"['OTX1', 'BRCA2', 'KLHL23', 'GRAP', 'ANXA7']",BRCA2
non-Hodgkin lymphoma,b lymphocyte,"['SPOP', 'MYO7B', 'PLK3', 'TPM1', 'JMJD8']",SPOP
non-Hodgkin lymphoma,b lymphocyte,"['THEM6', 'ADD2', 'CTPS2', 'PIK3CG', 'PPP2R5C']",PIK3CG
non-Hodgkin lymphoma,b lymphocyte,"['SBDS', 'DBR1', 'NDUFA3', 'SMPX', 'CCL11']",SBDS
non-Hodgkin lymphoma,b lymphocyte,"['ACAN', 'APOA4', 'SLC4A4', 'MTMR10', 'CD3D']",CD3D
non-Hodgkin lymphoma,b lymphocyte,"['LINC00857', 'PCBP2', 'LMO2', 'DPH1', 'HSD17B11']",LMO2
non-Hodgkin lymphoma,b lymphocyte,"['TUBGCP2', 'DUX4', 'PRKACA', 'USP13', 'RAET1E']",PRKACA
non-Hodgkin lymphoma,b lymphocyte,"['CBR3', 'PEG3', 'PTPRC', 'PAX2', 'EIF4G1']",PTPRC
non-Hodgkin lymphoma,b lymphocyte,"['ATF1', 'CIAO3', 'DHRS4', 'E2F7', 'KRR1']",ATF1
non-Hodgkin lymphoma,b lymphocyte,"['NLRP14', 'DDX52', 'PAXX', 'SCRIB', 'NSD3']",NSD3
non-Hodgkin lymphoma,b lymphocyte,"['RPS10', 'GFAP', 'GIPR', 'CD5', 'TSC2']",TSC2
non-Hodgkin lymphoma,b lymphocyte,"['CANT1', 'JPH1', 'CXCL10', 'PKD2', 'SLC27A2']",CANT1
non-Hodgkin lymphoma,b lymphocyte,"['OAZ3', 'CABP1', 'SP140', 'ITGA5', 'TIAM1']",SP140
non-Hodgkin lymphoma,b lymphocyte,"['U4', 'EFHC2', 'MAB21L3', 'MGAT5', 'EIF1']",MGAT5
non-Hodgkin lymphoma,b lymphocyte,"['SETD2', 'GPAA1', 'IGHJ6', 'DSTN', 'INSM2']",SETD2
non-Hodgkin lymphoma,b lymphocyte,"['TRAV29DV5', 'LRRC37A2', 'IGLV3-21', 'ERG', 'LRRC66']",ERG
non-Hodgkin lymphoma,b lymphocyte,"['ERV3-1', 'PIM1', 'CD80', 'IL17RA', 'ZNF7']",PIM1
non-Hodgkin lymphoma,b lymphocyte,"['CD300LF', 'MBTPS1', 'MYL9', 'PACS1', 'RAD51']",RAD51
non-Hodgkin lymphoma,b lymphocyte,"['FKBP11', 'SARM1', 'BRCA1', 'MYL11', 'CARMIL2']",BRCA1
non-Hodgkin lymphoma,b lymphocyte,"['ADAM6', 'PRDX6', 'EGR2', 'PNRC1', 'PDCL']",EGR2
non-Hodgkin lymphoma,b lymphocyte,"['ARMC6', 'CALHM3', 'MTSS1', 'WDCP', 'CA9']",WDCP
non-Hodgkin lymphoma,b lymphocyte,"['LACC1', 'BRD9', 'DDB2', 'MRPL15', 'PAN3']",DDB2
non-Hodgkin lymphoma,b lymphocyte,"['GCA', 'FOXQ1', 'ARID1B', 'ZNF880', 'FGA']",ARID1B
non-Hodgkin lymphoma,b lymphocyte,"['SLC35B3', 'MTCP1', 'NCBP2', 'CTSS', 'THAP1']",MTCP1
non-Hodgkin lymphoma,b lymphocyte,"['KIAA1549L', 'CBLC', 'CISH', 'CACNA1E', 'ECT2']",CBLC
non-Hodgkin lymphoma,b lymphocyte,"['CFAP251', 'MAGEA3', 'KHDRBS1', 'PPL', 'USP9X']",USP9X
non-Hodgkin lymphoma,b lymphocyte,"['CLEC10A', 'CBL', 'RBBP4', 'GCH1', 'IGHV3-38']",CBL
non-Hodgkin lymphoma,b lymphocyte,"['POLE2', 'SUV39H1', 'IL3RA', 'EIF1', 'DNASE1L3']",POLE2
non-Hodgkin lymphoma,b lymphocyte,"['SAMHD1', 'USP13', 'FAM106A', 'P2RX1', 'PMS2']",PMS2
non-Hodgkin lymphoma,b lymphocyte,"['LGSN', 'SIGIRR', 'MYL6', 'KISS1R', 'CRLF2']",CRLF2
non-Hodgkin lymphoma,b lymphocyte,"['SP7', 'LCP1', 'TRAF2', 'PPP1R3A', 'IGHV4-28']",LCP1
non-Hodgkin lymphoma,b lymphocyte,"['FERMT2', 'OR3A4P', 'USF2', 'KLK5', 'GPR37']",GPR37
non-Hodgkin lymphoma,b lymphocyte,"['CNOT6', 'RAB3B', 'CEACAM3', 'VIPR1', 'BAZ1A']",BAZ1A
non-Hodgkin lymphoma,b lymphocyte,"['TFF2', 'SNRPD1', 'HNRNPA2B1', 'GFI1B', 'ARHGAP29']",HNRNPA2B1
non-Hodgkin lymphoma,b lymphocyte,"['NSD3', 'LINC00511', 'RP2', 'IGF1', 'USP35']",NSD3
non-Hodgkin lymphoma,b lymphocyte,"['NUDT1', 'GTF2H1', 'LEPROT', 'SNRPB', 'BCL10']",BCL10
non-Hodgkin lymphoma,b lymphocyte,"['DEPDC5', 'CAMTA1', 'IL13RA2', 'DNAJC1', 'DHX58']",CAMTA1
non-Hodgkin lymphoma,b lymphocyte,"['ILDR1', 'ARPC5', 'CTNNA2', 'PCDHGA3', 'TNFRSF9']",CTNNA2
non-Hodgkin lymphoma,b lymphocyte,"['TG', 'TRIM65', 'NDE1', 'TRDMT1', 'IFNL3']",TG
non-Hodgkin lymphoma,b lymphocyte,"['NBEA', 'TRA2A', 'AGPAT2', 'RANBP17', 'METAP2']",NBEA
