disease,celltype,candidate_genes,y
osteosarcoma,osteoblast,"['AK2', 'GALNT14', 'HDAC9', 'FYTTD1', 'THRA']",HDAC9
osteosarcoma,osteoblast,"['OTUD1', 'GTF3A', 'PAN2', 'LAPTM4B', 'SLPI']",LAPTM4B
osteosarcoma,osteoblast,"['SDHC', 'AGAP2', 'USB1', 'DERL1', 'HAND2']",SDHC
osteosarcoma,osteoblast,"['CREB3L2', 'H2AC20', 'ROCK2', 'ARID3A', 'ABCA4']",CREB3L2
osteosarcoma,osteoblast,"['SNRPA1', 'TGIF2', 'EIF4E3', 'RAN', 'KDM6A']",KDM6A
osteosarcoma,osteoblast,"['TRA2B', 'PTENP1', 'PKNOX1', 'ELF3', 'FABP5']",ELF3
osteosarcoma,osteoblast,"['SLC37A2', 'NAT10', 'WWC3', 'POU3F3', 'OLFML2B']",NAT10
osteosarcoma,osteoblast,"['UBC', 'REM1', 'CALM2', 'SERPING1', 'APC']",APC
osteosarcoma,osteoblast,"['RLIM', 'CCR1', 'CTNNA2', 'AIMP2', 'SLAMF6']",CTNNA2
osteosarcoma,osteoblast,"['TACC2', 'MTF2', 'CSF2RA', 'TAP2', 'GGTLC5P']",CSF2RA
osteosarcoma,osteoblast,"['SIGMAR1', 'PIWIL1', 'RNF213', 'SUCLA2', 'CETP']",RNF213
osteosarcoma,osteoblast,"['RASSF6', 'PPT1', 'AXIN2', 'ATRAID', 'CD8B']",AXIN2
osteosarcoma,osteoblast,"['MYCL', 'NAT2', 'PTPRU', 'ENSG00000258471', 'SMPX']",MYCL
osteosarcoma,osteoblast,"['PRAP1', 'RGN', 'FGF8', 'CD300LF', 'PLEKHM1']",PRAP1
osteosarcoma,osteoblast,"['RPL7A', 'CBFB', 'PACC1', 'ALPI', 'TFEC']",CBFB
osteosarcoma,osteoblast,"['TRAF1', 'NBPF4', 'ZBTB20', 'ARAF', 'KRT13']",ARAF
osteosarcoma,osteoblast,"['TMEM132C', 'AK5', 'MCM10', 'FOXC1', 'SLC26A6']",FOXC1
osteosarcoma,osteoblast,"['ALX3', 'RAD21', 'EMCN', 'CCL24', 'TNFRSF11B']",RAD21
osteosarcoma,osteoblast,"['UBE2D2', 'NGF', 'POLL', 'CCT7', 'SNHG11']",NGF
osteosarcoma,osteoblast,"['TMEM150C', 'PROM2', 'MMP2', 'SHTN1', 'PHEX']",MMP2
