disease,celltype,candidate_genes,y
ovarian carcinoma,ovarian surface epithelial cell,"['FDPS', 'KPNA5', 'HS6ST2', 'CDC73', 'HMGA1']",CDC73
ovarian carcinoma,ovarian surface epithelial cell,"['KLF5', 'ERC1', 'FDFT1', 'BTG3', 'S100P']",ERC1
ovarian carcinoma,ovarian surface epithelial cell,"['AFF1', 'CYTOR', 'CAMK2G', 'RIF1', 'TXNDC15']",AFF1
ovarian carcinoma,ovarian surface epithelial cell,"['HLA-DRA', 'RAD51D', 'KDM3A', 'PON2', 'CEACAM1']",RAD51D
ovarian carcinoma,ovarian surface epithelial cell,"['TYROBP', 'PCBP4', 'PRDM1', 'VMP1', 'FLG2']",PRDM1
ovarian carcinoma,ovarian surface epithelial cell,"['HAS1', 'DDX5', 'RMND1', 'APPBP2', 'HAUS3']",DDX5
ovarian carcinoma,ovarian surface epithelial cell,"['DLL4', 'RBMX', 'H3P9', 'PGR', 'CREBBP']",CREBBP
ovarian carcinoma,ovarian surface epithelial cell,"['SMARCA1', 'LINC02207', 'EIF3E', 'ZNF395', 'CYP2W1']",EIF3E
ovarian carcinoma,ovarian surface epithelial cell,"['DICER1', 'HMGA1P7', 'GBP1', 'DNA2', 'CHMP4A']",DICER1
ovarian carcinoma,ovarian surface epithelial cell,"['CCNA1', 'ANGPTL3', 'MLF2', 'CD7', 'RHOH']",RHOH
ovarian carcinoma,ovarian surface epithelial cell,"['MLF1', 'TUFT1', 'PAPOLA', 'DENND2B', 'TMEM255A']",MLF1
ovarian carcinoma,ovarian surface epithelial cell,"['NT5C2', 'GATA6-AS1', 'HAVCR1', 'MAP3K7', 'PUM1']",NT5C2
ovarian carcinoma,ovarian surface epithelial cell,"['PSD4', 'THRA', 'SNTN', 'PPARGC1A', 'DEPTOR']",PSD4
ovarian carcinoma,ovarian surface epithelial cell,"['XAGE1A', 'FAT4', 'CA12', 'TPI1', 'EPHA2']",FAT4
ovarian carcinoma,ovarian surface epithelial cell,"['KCNIP3', 'SERPINB3', 'TREX1', 'FGF18', 'PLA2G10']",FGF18
ovarian carcinoma,ovarian surface epithelial cell,"['SLC12A5', 'MAP7', 'DDX5', 'PRDM9', 'CDK5R1']",DDX5
ovarian carcinoma,ovarian surface epithelial cell,"['AGR2', 'SLC25A25', 'PHACTR2', 'MSR1', 'POLE']",POLE
ovarian carcinoma,ovarian surface epithelial cell,"['LRRN4CL', 'BPTF', 'SERPINB11', 'ETS1', 'KDM5A']",KDM5A
ovarian carcinoma,ovarian surface epithelial cell,"['SRPRA', 'TPCN2', 'PSMD8', 'CDC73', 'GPBAR1']",CDC73
ovarian carcinoma,ovarian surface epithelial cell,"['MTOR', 'ANXA4', 'PJVK', 'TC2N', 'CTSZ']",MTOR
ovarian carcinoma,ovarian surface epithelial cell,"['RAD51B', 'AATF', 'H3P33', 'CPVL', 'ATG12']",RAD51B
ovarian carcinoma,ovarian surface epithelial cell,"['MSI1', 'CDKN2D', 'AHR', 'JUND', 'BRD4']",BRD4
