disease,celltype,candidate_genes,y
pancreatic carcinoma,pancreatic ductal cell,"['RIF1', 'NDUFS1', 'GRM3', 'HHEX', 'FGFBP1']",GRM3
pancreatic carcinoma,pancreatic ductal cell,"['DLX6', 'H3C4', 'PPP4R1', 'ACSL6', 'FZD1']",ACSL6
pancreatic carcinoma,pancreatic ductal cell,"['ARNT', 'IGKV2D-29', 'DEFA1', 'WDHD1', 'NDUFA3']",ARNT
pancreatic carcinoma,pancreatic ductal cell,"['ROS1', 'SPTA1', 'RBM15', 'GNG12', 'ACAT1']",ROS1
pancreatic carcinoma,pancreatic ductal cell,"['SLC7A6', 'MPP7', 'CEACAM7', 'FCN2', 'BCORL1']",BCORL1
pancreatic carcinoma,pancreatic ductal cell,"['MOCOS', 'ADPRS', 'DHRS7', 'CREB3L2', 'MMP11']",CREB3L2
pancreatic carcinoma,pancreatic ductal cell,"['SFRP5', 'P2RY8', 'ST6GALNAC3', 'BCAT2', 'UTRN']",P2RY8
pancreatic carcinoma,pancreatic ductal cell,"['AIMP2', 'SMURF1', 'ADAMTS2', 'CHST9', 'TUBB8']",TUBB8
pancreatic carcinoma,pancreatic ductal cell,"['NALCN', 'NUCB2', 'CNOT3', 'FLOT2', 'KDM8']",CNOT3
pancreatic carcinoma,pancreatic ductal cell,"['TANC1', 'THUMPD3-AS1', 'SNX29', 'ME2', 'PLK4']",SNX29
pancreatic carcinoma,pancreatic ductal cell,"['TRIM7', 'PRPF19', 'CBFB', 'RNF125', 'TRAF2']",CBFB
pancreatic carcinoma,pancreatic ductal cell,"['SLC2A3', 'PANX1', 'MAP2K4', 'INTS7', 'GEMIN4']",MAP2K4
pancreatic carcinoma,pancreatic ductal cell,"['CDKN2C', 'NME1', 'NR1I3', 'CD300A', 'SNRPB']",CDKN2C
pancreatic carcinoma,pancreatic ductal cell,"['KLF14', 'IFNLR1', 'MFN1', 'DENR', 'ABR']",KLF14
pancreatic carcinoma,pancreatic ductal cell,"['XDH', 'GPC3', 'CALB2', 'NFKB1', 'ANXA4']",GPC3
pancreatic carcinoma,pancreatic ductal cell,"['KIF21B', 'TNRC6C', 'LRP4', 'REL', 'CPA6']",REL
pancreatic carcinoma,pancreatic ductal cell,"['CIP2A', 'CRY2', 'SH3BGRL3', 'KTN1', 'ARMC7']",KTN1
pancreatic carcinoma,pancreatic ductal cell,"['HSP90AA2P', 'ZNF331', 'ITPRID2', 'RIPK1', 'RABEP1']",ZNF331
pancreatic carcinoma,pancreatic ductal cell,"['CCDC9B', 'CNTNAP2', 'DSP', 'NAT1', 'CD27']",CNTNAP2
pancreatic carcinoma,pancreatic ductal cell,"['PSG9', 'MACROD1', 'SSX1', 'GPHN', 'ASCC2']",SSX1
pancreatic carcinoma,pancreatic ductal cell,"['ZPR1', 'HPDL', 'HIP1R', 'PHF6', 'EEF1A2']",PHF6
pancreatic carcinoma,pancreatic ductal cell,"['MLPH', 'NTRK3', 'PSMD3', 'MYLK2', 'LINC00663']",NTRK3
pancreatic carcinoma,pancreatic ductal cell,"['SUFU', 'ELANE', 'MRPS10', 'RAB3GAP1', 'KCNV2']",SUFU
pancreatic carcinoma,pancreatic ductal cell,"['ZNF148', 'APLP1', 'ACKR3', 'IRS2', 'LRRC8B']",ACKR3
pancreatic carcinoma,pancreatic ductal cell,"['FKBP1A', 'SRC', 'NXPH1', 'CA9', 'VASN']",SRC
pancreatic carcinoma,pancreatic ductal cell,"['CNRIP1', 'SAPCD2', 'GCAT', 'POLD1', 'NRDC']",POLD1
pancreatic carcinoma,pancreatic ductal cell,"['PRDX5', 'EXT1', 'ATF4', 'TPRG1', 'SOAT1']",EXT1
pancreatic carcinoma,pancreatic ductal cell,"['CHRAC1', 'EGFL6', 'VAC14', 'POLR3K', 'NACC1']",VAC14
pancreatic carcinoma,pancreatic ductal cell,"['BTF3', 'LEF1', 'SLC6A6', 'MAPK4', 'H4C8']",LEF1
pancreatic carcinoma,pancreatic ductal cell,"['SUCNR1', 'NT5M', 'CLIP1', 'ALOX5AP', 'CCNE2']",CLIP1
pancreatic carcinoma,pancreatic ductal cell,"['ETAA1', 'SLC4A7', 'ADIPOQ', 'MFAP4', 'HSP90B2P']",ETAA1
pancreatic carcinoma,pancreatic ductal cell,"['MIR216B', 'ERRFI1', 'PDCD2L', 'XPNPEP1', 'TET1']",TET1
pancreatic carcinoma,pancreatic ductal cell,"['HEATR1', 'SCRIB', 'YTHDF2', 'DNMT3A', 'AMACR']",DNMT3A
pancreatic carcinoma,pancreatic ductal cell,"['SMAD4', 'SCAMP2', 'AURKB', 'SUSD3', 'ITLN1']",SMAD4
pancreatic carcinoma,pancreatic ductal cell,"['INPP4B', 'CEACAM1', 'RBP2', 'BTK', 'PDE4C']",BTK
pancreatic carcinoma,pancreatic ductal cell,"['GRHL1', 'KCNIP4', 'SND1', 'DCTN4', 'KIF7']",SND1
pancreatic carcinoma,pancreatic ductal cell,"['ATP2B1-AS1', 'IFI6', 'RARA', 'RENBP', 'MEF2D']",RARA
pancreatic carcinoma,pancreatic ductal cell,"['LIAT1', 'NCOA1', 'PPP1R12A', 'IL1R1', 'BROX']",NCOA1
pancreatic carcinoma,pancreatic ductal cell,"['TSHR', 'ADIPOR2', 'BCAP31', 'LIN7A', 'LAT']",TSHR
pancreatic carcinoma,pancreatic ductal cell,"['G6PD', 'MIR196B', 'CRNKL1', 'HNF4G', 'DTYMK']",HNF4G
pancreatic carcinoma,pancreatic ductal cell,"['FRG1BP', 'VHL', 'ONECUT1', 'IL32', 'SUSD3']",VHL
pancreatic carcinoma,pancreatic ductal cell,"['PPP2CA', 'AQP10', 'KCNJ18', 'CIITA', 'EGFL7']",CIITA
pancreatic carcinoma,pancreatic ductal cell,"['MICAL1', 'PHLDA1', 'MOCOS', 'COPG2', 'ASPSCR1']",ASPSCR1
pancreatic carcinoma,pancreatic ductal cell,"['SMAGP', 'GABRB1', 'PRAP1', 'BGN', 'EHD1']",GABRB1
pancreatic carcinoma,pancreatic ductal cell,"['CXCR6', 'LSR', 'CEBPD', 'MAPK4', 'PDGFRA']",PDGFRA
pancreatic carcinoma,pancreatic ductal cell,"['CYTOR', 'GALNT4', 'PLXNB2', 'SF3B1', 'ARHGEF26']",SF3B1
pancreatic carcinoma,pancreatic ductal cell,"['SHPK', 'MSN', 'IL2RA', 'IL10', 'PMP22']",MSN
pancreatic carcinoma,pancreatic ductal cell,"['TMEM179B', 'TUBB2B', 'MAPK3', 'COTL1', 'DHCR7-DT']",TUBB2B
pancreatic carcinoma,pancreatic ductal cell,"['SHMT1', 'SH3BGRL2', 'FKBP9', 'BCL2L1', 'BPIFB2']",FKBP9
pancreatic carcinoma,pancreatic ductal cell,"['NAP1L5', 'U2AF1', 'MYH10', 'HSPA2', 'NDUFB11']",U2AF1
