disease,celltype,candidate_genes,y
prostate carcinoma,prostate epithelial cell,"['BTG3', 'BTG1', 'BCL9L', 'RBMS1', 'TRPC1']",BCL9L
prostate carcinoma,prostate epithelial cell,"['NSMAF', 'ITGA5', 'DHX30', 'SDHD', 'NDUFA11']",SDHD
prostate carcinoma,prostate epithelial cell,"['NDRG1', 'LRIG2', 'EIF4G1', 'MIER3', 'CNBP']",NDRG1
prostate carcinoma,prostate epithelial cell,"['MUTYH', 'SULF2', 'LTO1', 'FXYD3', 'IFI44']",MUTYH
prostate carcinoma,prostate epithelial cell,"['OPCML', 'AOPEP', 'ABCE1', 'RPL27A', 'RECQL4']",RECQL4
prostate carcinoma,prostate epithelial cell,"['USHBP1', 'LGALS3BP', 'PTDSS1', 'RASSF3', 'RBM15']",RASSF3
prostate carcinoma,prostate epithelial cell,"['CSK', 'CCND2', 'ANXA4', 'DKK3', 'ENSG00000280362']",CCND2
prostate carcinoma,prostate epithelial cell,"['NECTIN1', 'WNT3A', 'COG1', 'ANO7', 'FOSL1']",ANO7
prostate carcinoma,prostate epithelial cell,"['SCN7A', 'ORC1', 'PRKAB1', 'ENSG00000279390', 'LYVE1']",SCN7A
prostate carcinoma,prostate epithelial cell,"['TRIM5', 'ENSG00000279390', 'NT5C2', 'MYO3B', 'MZT1']",NT5C2
prostate carcinoma,prostate epithelial cell,"['ENSG00000279509', 'DYNLL1', 'CNOT3', 'EHF', 'RBL2']",CNOT3
prostate carcinoma,prostate epithelial cell,"['NT5E', 'ENSG00000293584', 'SRD5A3', 'HOXA1', 'WNK1']",SRD5A3
prostate carcinoma,prostate epithelial cell,"['RET', 'NKX2-8', 'C12orf75', 'LY6D', 'LINC02640']",RET
prostate carcinoma,prostate epithelial cell,"['DAXX', 'IL10RB', 'MRM3P1', 'CHD5', 'LINC00963']",DAXX
prostate carcinoma,prostate epithelial cell,"['MINDY1', 'INHBB', 'CYP2C8', 'ENOX1', 'SLC10A5']",INHBB
prostate carcinoma,prostate epithelial cell,"['TGFBI', 'ENSG00000270115', 'ABCA2', 'KLF5', 'PI4KA']",KLF5
prostate carcinoma,prostate epithelial cell,"['MCPH1', 'RPL7L1', 'INPP5K', 'ITGB4', 'HOXA9']",HOXA9
prostate carcinoma,prostate epithelial cell,"['APOA2', 'SCN7A', 'GYPC', 'HAS2', 'ANP32B']",SCN7A
prostate carcinoma,prostate epithelial cell,"['CHSY3-AS1', 'PER1', 'RASGRP3', 'SLC39A8', 'HCP5']",PER1
prostate carcinoma,prostate epithelial cell,"['DDX5', 'CPAP', 'TBC1D9', 'ACKR3', 'ADGRD1']",ACKR3
prostate carcinoma,prostate epithelial cell,"['BATF', 'TRAIP', 'ERC1', 'PSMD4', 'ZFP36L2']",ZFP36L2
prostate carcinoma,prostate epithelial cell,"['TUBB1', 'DEGS2', 'EXOC2', 'HTR1A', 'CSMD2']",TUBB1
prostate carcinoma,prostate epithelial cell,"['CERS2', 'CD300LG', 'DAO', 'CD200R1', 'IL11']",CERS2
prostate carcinoma,prostate epithelial cell,"['OR5M3', 'OIT3', 'ANXA8L1', 'U2AF1', 'SIRPB1']",U2AF1
prostate carcinoma,prostate epithelial cell,"['PAK3', 'MYH6', 'IGFBP2', 'BTF3P11', 'DDX6']",DDX6
prostate carcinoma,prostate epithelial cell,"['HNF1A', 'COL2A1', 'HINT1', 'WTAP', 'NUTM2D']",HNF1A
prostate carcinoma,prostate epithelial cell,"['CTRB1', 'IL11', 'MAPK1', 'ENPEP', 'HERC2P2']",MAPK1
prostate carcinoma,prostate epithelial cell,"['OSBPL7', 'CD55', 'DIS3', 'PRH1', 'C5']",OSBPL7
prostate carcinoma,prostate epithelial cell,"['CHRNB2', 'ASXL2', 'STK26', 'ENSG00000272254', 'TFAP4']",TFAP4
prostate carcinoma,prostate epithelial cell,"['MOCS3', 'SIX1', 'DSP', 'ENSG00000279806', 'PRAC2']",SIX1
prostate carcinoma,prostate epithelial cell,"['ENSG00000287283', 'COL17A1', 'SLC22A1', 'ERCC4', 'PDCL3']",ERCC4
prostate carcinoma,prostate epithelial cell,"['TNFSF11', 'CALHM3', 'SUZ12', 'TRIM66', 'SENP1']",SUZ12
prostate carcinoma,prostate epithelial cell,"['MYC', 'SERPINF1', 'C2CD5', 'MGA', 'CDKN3']",MYC
prostate carcinoma,prostate epithelial cell,"['MMP2', 'WDR62', 'HEY1', 'SAMTOR', 'CCR2']",HEY1
prostate carcinoma,prostate epithelial cell,"['MACIR', 'FAM72D', 'RPS6KA2', 'YWHAE', 'HYAL1']",YWHAE
prostate carcinoma,prostate epithelial cell,"['BIRC6', 'ATP2A2', 'GOLM1', 'MAPK8IP1', 'KDM5A']",KDM5A
prostate carcinoma,prostate epithelial cell,"['SLC35A1', 'SLC16A2', 'SPHK1', 'KAT6A', 'SRPX']",KAT6A
