disease,celltype,candidate_genes,y
renal cell carcinoma,renal tubular cell,"['CYB5R3', 'IRF6', 'LMNA', 'POLR1H', 'TTC21A']",LMNA
renal cell carcinoma,renal tubular cell,"['PRORSD1P', 'SLC35A1', 'TFPT', 'CADM4', 'FAM83H']",TFPT
renal cell carcinoma,renal tubular cell,"['HLA-H', 'MID1', 'TRBV16', 'CERKL', 'JAK2']",JAK2
renal cell carcinoma,renal tubular cell,"['CAND2', 'UCN', 'MEFV', 'PLD1', 'SFPQ']",SFPQ
renal cell carcinoma,renal tubular cell,"['ZFP36L2', 'GPER1', 'NBAS', 'RECQL4', 'HEATR1']",RECQL4
renal cell carcinoma,renal tubular cell,"['NDNF', 'RCE1', 'DSTYK', 'KEAP1', 'SLC5A8']",KEAP1
renal cell carcinoma,renal tubular cell,"['CREB3L2', 'PDIA4', 'TRAF6', 'PIH1D2', 'ADAMTS18']",CREB3L2
renal cell carcinoma,renal tubular cell,"['HOTAIR', 'BGN', 'ASXL2', 'ANKRD36B', 'UQCRC1']",ASXL2
renal cell carcinoma,renal tubular cell,"['FH', 'ZNF707', 'CDC42', 'TMEM33', 'ALDH18A1']",FH
renal cell carcinoma,renal tubular cell,"['HCP5B', 'MT-ND3', 'FGFR1OP2', 'FOXQ1', 'MYB']",MYB
renal cell carcinoma,renal tubular cell,"['JAK1', 'RPL24', 'C8orf76', 'NR2F1', 'ATP1B2']",JAK1
renal cell carcinoma,renal tubular cell,"['TFAP2A', 'PAQR5', 'HUWE1', 'FARP1', 'TUBB2B']",TUBB2B
renal cell carcinoma,renal tubular cell,"['TET2', 'RNF8', 'HOPX', 'DNASE2B', 'IGKV1-5']",TET2
renal cell carcinoma,renal tubular cell,"['MST1', 'PKD2', 'RRAS2', 'CASP14', 'MBP']",RRAS2
renal cell carcinoma,renal tubular cell,"['LEPROTL1', 'KLK6', 'CD53', 'H3C3', 'SH2D5']",LEPROTL1
renal cell carcinoma,renal tubular cell,"['AOPEP', 'PHAX', 'KIF16B', 'GDF6', 'WAS']",WAS
renal cell carcinoma,renal tubular cell,"['OPN4', 'SLC15A4', 'PANDAR', 'CEP89', 'CALCRL']",CEP89
renal cell carcinoma,renal tubular cell,"['ZNF280C', 'ATG16L1', 'DCP1A', 'NDUFAF2', 'CTNNA1']",CTNNA1
